"from","to"
"Day_of_Life","Enterobacter.roggenkampii.PTR"
"Day_of_Life","ARO.3000808mexI"
"PostMenst_Age","Enterococcus.faecalis.abundance"
"PostMenst_Age","ARO.3003835cdeA"
"PostMenst_Age","ARO.3004089ANT.3....IIa"
"Gestational_Age","ARO.3004033tetB.46."
"Gestational_Age","ARO.3000979TEM.116"
"Birthweight","Klebsiella.aerogenes.abundance"
"Birthweight","ARO.3000166tet.B."
"Gentamicin","ARO.3001025TEM.159"
"Gentamicin","ARO.3002626ANT.6..Ia"
"Cefazolin","ARO.3001025TEM.159"
"Cefazolin","ARO.3001842ACT.21"
"Cefazolin","ARO.3000192tetS"
"Cefazolin","ARO.3000880TEM.8"
"Ampicillin","ARO.3002412OXY.5.2"
"Ampicillin","ARO.3000186tetM"
"Ampicillin","ARO.3002983amrB"
"Meropenem","ARO.3000952TEM.85"
"Meropenem","ARO.3000808mexI.1"
"Meropenem","ARO.3000979TEM.116"
"Vancomycin","ARO.3003052smeB"
"Ticarcillin.Clavulanate","Enterobacteriaceae.bacterium.S05.PTR"
"Ticarcillin.Clavulanate","ARO.3002985arnA"
"Ticarcillin.Clavulanate","ARO.3002434OKP.B.1"
"Ticarcillin.Clavulanate","ARO.3002441OKP.B.8"
"r_Gentamicin","ARO.3000880TEM.8"
"r_Meropenem","Enterococcus.faecalis.abundance"
"r_Meropenem","ARO.3000124mecI"
"r_Meropenem","ARO.3002626ANT.6..Ia"
"r_Meropenem","ARO.3000192tetS"
"r_Ticarcillin.Clavulanate","ARO.3001073SHV.14"
"r_Ticarcillin.Clavulanate","ARO.3001126SHV.72"
"r_Ticarcillin.Clavulanate","ARO.3002079CMY.66"
"r_Ampicillin","ARO.3002412OXY.5.2"
"r_Ampicillin","ARO.3000316mphA"
"r_Cefotaxime","ARO.3000975TEM.112"
"r_Cefotaxime","ARO.3001842ACT.21"
"r_TOTAL","ARO.3003052smeB"
"r_TOTAL","ARO.3003056smeE"
"Human_Milk","ARO.3003046qacA"
"Human_Milk","ARO.3003112lsaC"
"Maternal_Milk","ARO.3000025patB"
"Maternal_Milk","ARO.3002819msrC"
"Maternal_Milk","ARO.3001327mdtK"
"Donor_Milk","Escherichia.coli.PTR"
"Donor_Milk","ARO.3001124SHV.70"
"Donor_Milk","ARO.3003112lsaC"
"Donor_Milk","ARO.3000195tetB.P."
"Donor_Milk","ARO.3004089ANT.3....IIa"
